Action,Date,Ad Title/Id,Page/App
Impression,2025/05/27,661446753,ndtv.com
Impression,2025/05/27,661494903,ndtv.com
Impression,2025/05/27,661596943,ndtv.com
Impression,2025/05/27,661672783,ndtv.com
Impression,2025/05/27,662146273,ndtv.com
Impression,2025/05/27,663007513,ndtv.com
Impression,2025/05/27,668876966,ndtv.com
Impression,2025/05/27,668883556,ndtv.com
Impression,2025/05/27,668892256,ndtv.com
Impression,2025/05/27,669367094,espncricinfo.com
Impression,2025/05/27,669824084,ndtv.com
Impression,2025/05/27,669854174,ndtv.com
Impression,2025/05/27,669856514,ndtv.com
Impression,2025/05/27,669864534,espncricinfo.com
Impression,2025/05/27,673113424,ndtv.com
Impression,2025/05/27,673137234,ndtv.com
Impression,2025/05/27,676193384,ndtv.com
Impression,2025/05/27,676247054,espncricinfo.com
Impression,2025/05/27,679406233,ndtv.com
Impression,2025/05/27,679808993,ndtv.com
Impression,2025/05/27,686708033,ndtv.com
Impression,2025/05/27,688269043,ndtv.com
Impression,2025/05/27,688577833,espncricinfo.com
Impression,2025/05/27,688606833,ndtv.com
Impression,2025/05/27,688644783,ndtv.com
Impression,2025/05/27,688758193,ndtv.com
Impression,2025/05/27,688775243,ndtv.com
Impression,2025/05/27,688820493,ndtv.com
Impression,2025/05/27,688969683,ndtv.com
Impression,2025/05/27,689033823,ndtv.com
Impression,2025/05/28,558435333,espncricinfo.com
Impression,2025/05/28,583725163,espncricinfo.com
Impression,2025/05/28,651644246,espncricinfo.com
Impression,2025/05/29,569719184,espncricinfo.com
Impression,2025/05/29,640376354,espncricinfo.com
Impression,2025/05/29,640394524,espncricinfo.com
Impression,2025/05/29,672805164,espncricinfo.com
Impression,2025/05/29,686658893,espncricinfo.com
Impression,2025/05/29,693916903,espncricinfo.com
Impression,2025/05/29,693936083,espncricinfo.com
Impression,2025/05/29,693990613,espncricinfo.com
Impression,2025/05/29,694167593,espncricinfo.com
Impression,2025/06/01,549298164,espncricinfo.com
Impression,2025/06/01,568905316,espncricinfo.com
Impression,2025/06/01,602780244,espncricinfo.com
Impression,2025/06/01,623682734,espncricinfo.com
